ppg_season_diff,net_goals_diff,home_pts_last_5,away_pts_last_5,pts_last_5_diff,best_player_diff,p(Home),p(Draw),p(Away),Result
0.029999999999999805,0.04000000000000026,1,7,-6,-4.0,0.457,0.258,0.285,1
0.0,-0.35,7,7,0,-5.0,0.457,0.258,0.285,1
-1.0,0.8200000000000001,1,4,-3,0.5,0.457,0.258,0.285,-1
0.0,0.28,4,4,0,8.5,0.457,0.258,0.285,-1
-0.33000000000000007,0.0,6,7,-1,-4.5,0.457,0.258,0.285,-1
-0.6699999999999999,-1.3399999999999999,4,6,-2,-1.5,0.457,0.258,0.285,-1
-0.33000000000000007,0.22999999999999998,3,4,-1,3.0,0.457,0.258,0.285,1
-1.67,-0.16000000000000014,1,6,-5,-7.5,0.457,0.258,0.285,1
-1.0,0.08999999999999986,3,6,-3,2.0,0.457,0.258,0.285,1
0.0,-0.53,3,3,0,-5.5,0.457,0.258,0.285,-1
0.0,-0.28,3,3,0,-5.0,0.457,0.258,0.285,0
1.75,0.8999999999999999,10,3,7,12.5,0.457,0.258,0.285,0
-0.5,0.41000000000000014,4,6,-2,0.5,0.457,0.258,0.285,1
-0.75,1.03,1,4,-3,6.5,0.457,0.258,0.285,0
